imicrobe,mixs_term,alternate_name,category,mixs_package,camera,bco_dmo_short_name,hot_name
nutrients_nh4_microm,ammonium,,chemical,multi,nutrients/NH4  (microM),,
nutrients_nox_microm,,nutrients NOx,chemical,,nutrients/NOx  (microM),,
nutrients_po3_microm,phosphate,nutrients PO3,chemical,multi,nutrients/PO3  (microM),,
nutrients_po4_microm,phosphate,nutrients PO4,chemical,multi,nutrients/PO4  (microM),,
nutrients_potassium_phosphate_um,,nutrients potassium phosphate,chemical,,nutrients/potassium phosphate  (uM),,
nutrients_putrescine_c4h12n2_nm,,nutrients putrescine,chemical,,nutrients/putrescine (C4H12N2)  (nM),,
nutrients_so4_microm,sulfate,,chemical,multi,nutrients/SO4  (microM),,
nutrients_sodium_nitrate_um,,nutrients sodium nitrate,chemical,,nutrients/sodium nitrate  (uM),,
nutrients_spermidine_c7h19n3_nm,,nutrients spermidine,chemical,,nutrients/spermidine (C7H19N3)  (nM),,
oxygen,oxygenation status of sample,,chemical,multi,oxygen,,
oxygen_mass_um,dissolved oxygen,,chemical,multi,oxygen/mass  (uM),,
oxygen_um,dissolved oxygen,,chemical,multi,oxygen  (uM),,
oxygen_umol_kg,dissolved oxygen,,chemical,multi,oxygen  (umol/kg),O2_umol_kg,
particulate_carbon_umol_kg,total particulate carbon,,chemical,water,Particulate Carbon  (Ì¡mol/kg),,
particulate_nigrogen_umol_kg,particulate organic nitrogen,,chemical,water,Particulate Nigrogen  (Ì¡mol/Kg),,
particulate_nitrogen_umol_kg,particulate organic nitrogen,,chemical,water,Particulate Nitrogen  (Ì¡mol/kg),,
particulate_organic_carbon_umol_kg,particulate organic carbon,,chemical,multi,Particulate Organic Carbon  (umol/kg),,
particulate_phosphate_umol_kg,,particulate phosphate,chemical,,Particulate Phosphate  (Ì¡mol/kg),,
particulate_silica,,,chemical,,,Si_part,
peridinin,,,chemical,,,peridinin,
ph,pH,,chemical,built env/plant-associated/soil,pH,pH,
ph,pH,,chemical,multi,pH  (null),,
phosphate,phosphate,phosphate,chemical,,,PO4,
phosphate_umol_kg,phosphate,,chemical,multi,phosphate  (umol/kg),,
phosphate_umol_l,phosphate,,chemical,multi,phosphate  (Ì¡mol/l),,
phycoerythrin_10u,,,chemical,,,PE_10u,
phycoerythrin_5u,,,chemical,,,PE_5u,
phycoerythrin_point4u ,,,chemical,,,PE_point4u,
plant_cover,,plant cover,chemical,,Plant Cover,,
poc,particulate organic carbon,,chemical,multi,,,
potassium,potassium,,chemical,multi,Potassium  (null),,
potassiumk_um,potassium,,chemical,multi,Potassium(K)  (uM),,
prasinoxanthin,,,chemical,,,prasinox,
pressure_atm,pressure,,chemical,multi,pressure  (atm),,
rubidiumrb_um,,rubidium,chemical,,Rubidium(Rb)  (uM),,
salinity,,,chemical,,,sal,CTDSAL
salinity,,,chemical,,,sal,SALNITY
salinity_ppm,salinity or sample salinity,,chemical,multi,salinity  (ppm),,
salinity_psu,salinity or sample salinity,,chemical,multi,salinity  (psu),,
sample_depth,sample_depth,,chemical,multi,sample depth,,
silicah4sio4_um_l,silicate,,chemical,multi,Silica(H4SiO4)  (uM/l),,
silicate,,silicate,chemical,,,SiO4,
silicate_umol_kg,silicate,,chemical,multi,Silicate  (Ì¡mol/kg),,
silicate_umol_kg,silicate,,chemical,multi,Silicate  (umol/kg),,
siliconsi_um,silicate,,chemical,multi,Silicon(Si)  (uM),,
siliconsi_umol_l,,silicone,chemical,,Silicon(Si)  (Ì¡mol/l),,
sodium,sodium,,chemical,multi,Sodium  (null),,
sodium_um,sodium,,chemical,multi,Sodium  (uM),,
strontiumsr_um,,strontium,chemical,,Strontium(Sr)  (uM),,
sulfateso4_mm,sulfate,,chemical,multi,Sulfate(SO4)  (mM),,
sulfateso4_um,sulfate,,chemical,multi,Sulfate(SO4)  (uM),,
sulfide_um,,sulfide,chemical,,,,
sulfurs2_um,,sulfur,chemical,,,,
