rdfs:label	MEOWL short label	BCO-DMO unit	other unit	From Ken's list of all fields	From Hurowitz CAMERA data.xls	category	BCO-DMO short name	MIxS package	maps to MIxS term	other synonyms
dissolved inorganic phosphate concentration	dop_conc		nmol/kg	dissolved_inorganic_phosphate_nmol_kg	dissolved inorganic phosphate - (nmol/kg)	chemical		water	dissolved inorganic phosphorus	
dissolved organic carbon concentration	doc_conc		uM	dissolved_organic_carbon_um	dissolved organic carbon - (uM)	chemical		multi	dissolved organic carbon	
dissolved organic carbon concentration	doc_conc		umol/kg	dissolved_organic_carbon_umol_kg	dissolved organic carbon - (umol/kg)	chemical		multi	dissolved organic carbon	
dissolved organic nitrogen concentration	don_conc		umol/kg	dissolved_organic_nitrogen_umol_kg	Dissolved Organic Nitrogen - (ðmol/kg)	chemical		multi	dissolved organic nitrogen | organic nitrogen	
dissolved organic nitrogen concentration	don_conc		umol/kg	dissolved_organic_nitrogen_umol_kg	Dissolved Organic Nitrogen - (ðmol/Kg)	chemical		multi	dissolved organic nitrogen | organic nitrogen	
unit missing				dissolved_oxygen	-	chemical				
dissolved oxygen concentration	do_conc		nmol/kg	dissolved_oxygen_nmol_kg	dissolved oxygen - (nmol/kg)	chemical		multi	dissolved oxygen	
dissolved oxygen concentration	do_conc		umol/kg	dissolved_oxygen_umol_kg	dissolved oxygen - (umol/kg)	chemical		multi	dissolved oxygen	
unit missing	salinity_env			environmental_salinity	-	chemical				
unit missing	salinity_exp			experimental_salinity	-	chemical				
fluorine concentration	fluorine_conc		uM	fluorinef_um	-	chemical		water	fluorescence	
glucose mass	glucose_mass		mg	glucose_mg	glucose - (mg)	chemical				
dihydrogen concentration	dihydrogen_conc		uM	h2_um	H2 - (uM)	chemical		multi	dissolved hydrogen	
iron concentration	iron_conc		uM	ironfe_um	Iron(Fe) - (uM)	chemical				
leucine concentration	leucine_conc		umol/kg	leucine_umol_kg	Leucine - (umol/kg)	chemical				
lithium concentration	lithium_conc		uM	lithiumli_um	Lithium(Li) - (uM)	chemical				
magnesium concentration	magnesium_conc		uM	magnesiummg_um	Magnesium(Mg) - (uM)	chemical				
manganese concentration	manganese_conc		uM	manganesemn_um	Manganese(Mn) - (uM)	chemical				
methane concentration	methane_conc		uM	methane_um	Methane - (uM)	chemical		multi	methane	
molybdenum concentration	molybdenum_conc		uM	molybdenummo_um	Molybdenum(Mo) - (uM)	chemical				
unit missing				nitrate	-	chemical				
nitrate plus nitrite concentrations	nitrate_nitrite_conc		nmol/kg	nitratenitrite_nmol_kg	nitrate+nitrite - (nmol/kg)	chemical		multi	"nitrate, nitrite (none really)"	
nitrate concentration	nitrate_conc		uM	nitrateno3_um	nitrate(NO3) - (uM)	chemical		multi	nitrate	
nitrate concentration	nitrate_conc		umol/l	nitrateno3_umol_l	nitrate(NO3) - (umol/l)	chemical		multi	nitrate	
nitrate concentration	nitrate_conc		umol/l	nitrite_umol_l	nitrite - (ðmol/l)	chemical		water	nitrite	
dimethylsulphoniopropionate concentration	dmsp_conc		nM	nutrients_dmsp_nm	nutrients/DMSP - (nM)	chemical				
ammonia concentration	ammonia_conc		uM	nutrients_nh4_microm	nutrients/NH4 - (microM)	chemical		multi	ammonium	
nitrate plus nitrite concentrations	nitrate_nitrite_conc		uM	nutrients_nox_microm	nutrients/NOx - (microM)	chemical				
phosphite concentration	phosphite_conc		uM	nutrients_po3_microm	nutrients/PO3 - (microM)	chemical		multi	phosphate	
